
chunk_size=1024, chunk_len=265, mag_len=271000
1>chunk_idx=166, left_mag_idx=169984, right_mag_idx=171007
1>chunk_idx=167, left_mag_idx=171008, right_mag_idx=172031
1>chunk_idx=168, left_mag_idx=172032, right_mag_idx=173055
1>chunk_idx=169, left_mag_idx=173056, right_mag_idx=174079
1>chunk_idx=170, left_mag_idx=174080, right_mag_idx=175103
1>chunk_idx=171, left_mag_idx=175104, right_mag_idx=176127
1>chunk_idx=172, left_mag_idx=176128, right_mag_idx=177151
1>chunk_idx=173, left_mag_idx=177152, right_mag_idx=178175
1>chunk_idx=174, left_mag_idx=178176, right_mag_idx=179199
1>chunk_idx=175, left_mag_idx=179200, right_mag_idx=180223
1>chunk_idx=176, left_mag_idx=180224, right_mag_idx=181247
1>chunk_idx=177, left_mag_idx=181248, right_mag_idx=182271
1>chunk_idx=178, left_mag_idx=182272, right_mag_idx=183295
1>chunk_idx=179, left_mag_idx=183296, right_mag_idx=184319
1>chunk_idx=180, left_mag_idx=184320, right_mag_idx=185343
1>chunk_idx=181, left_mag_idx=185344, right_mag_idx=186367
1>chunk_idx=182, left_mag_idx=186368, right_mag_idx=187391
1>chunk_idx=183, left_mag_idx=187392, right_mag_idx=188415
1>chunk_idx=184, left_mag_idx=188416, right_mag_idx=189439
1>chunk_idx=185, left_mag_idx=189440, right_mag_idx=190463
1>chunk_idx=186, left_mag_idx=190464, right_mag_idx=191487
1>chunk_idx=187, left_mag_idx=191488, right_mag_idx=192511
1>chunk_idx=188, left_mag_idx=192512, right_mag_idx=193535
1>chunk_idx=189, left_mag_idx=193536, right_mag_idx=194559
1>chunk_idx=190, left_mag_idx=194560, right_mag_idx=195583
1>chunk_idx=191, left_mag_idx=195584, right_mag_idx=196607
1>chunk_idx=192, left_mag_idx=196608, right_mag_idx=197631
1>chunk_idx=193, left_mag_idx=197632, right_mag_idx=198655
1>chunk_idx=194, left_mag_idx=198656, right_mag_idx=199679
1>chunk_idx=195, left_mag_idx=199680, right_mag_idx=200703
1>chunk_idx=196, left_mag_idx=200704, right_mag_idx=201727
1>chunk_idx=197, left_mag_idx=201728, right_mag_idx=202751
1>chunk_idx=198, left_mag_idx=202752, right_mag_idx=203775
